id,lon,lat,population
001N,77.08879447,28.86577562,69649
002N,77.17642062,28.82234109,55144
003N,77.12111954,28.81649902,59837
004N,77.08136359,28.78555198,67610
005N,77.05532654,28.8422122,65373
006N,77.15478137,28.7789818,63220
007N,77.21169495,28.76816666,61291
008N,77.21996514,28.73826562,60103
009N,77.19906487,28.75067428,58522
010N,77.18457999,28.74593429,60906
011N,77.18156679,28.73891622,61052
012N,77.22443489,28.71599295,70476
013N,77.21006697,28.67726764,61794
014N,77.20958999,28.69928331,41957
015N,77.21691444,28.7146344,52487
016N,77.16543322,28.72887141,63711
017N,77.17806134,28.71945813,65010
018N,77.19961973,28.72010792,59496
019N,77.14846279,28.76137863,67353
020N,77.16429773,28.74935351,58274
021N,77.17229124,28.73477651,52112
022N,77.16815758,28.7371696,49360
023N,77.14476615,28.74442071,63214
024N,77.12205437,28.74356018,66482
025N,77.10763797,28.7281658,61623
026N,77.09668113,28.71311351,68107
027N,77.08737958,28.71376811,65539
028N,77.09525828,28.71905838,56681
029N,76.98230463,28.79463951,66360
030N,77.0414241,28.8084458,59664
031N,77.07332646,28.75927343,62492
032N,77.096052,28.73246225,65926
033N,77.06250656,28.73460361,65780
034N,77.07406337,28.71974454,62760
035N,76.99478022,28.7370343,71335
036N,77.0320202,28.71459872,58881
037N,77.06105419,28.68224694,57007
038N,77.06035572,28.66135569,54751
039N,76.9987196,28.6703017,71072
040N,77.04351513,28.7097028,74226
041N,77.06404692,28.7060752,71331
042N,77.06241773,28.6960101,65334
043N,77.05214612,28.69396595,63337
044N,77.03721334,28.70050252,71490
045N,77.07715772,28.70205697,53349
046N,77.08900336,28.70012785,41674
047N,77.07751632,28.69559121,65250
048N,77.06700673,28.69137246,55109
049N,77.07173502,28.68096446,71663
050N,77.08303729,28.66904924,63625
051N,77.06924717,28.66677538,61563
052N,77.06827602,28.67482194,64230
053N,77.10561145,28.70252753,62298
054N,77.09974296,28.69651311,54904
055N,77.08129341,28.6910801,54690
056N,77.08980258,28.69590073,60015
057N,77.13588341,28.73833244,68470
058N,77.1340474,28.7202189,52884
059N,77.12210305,28.70572154,61393
060N,77.12727199,28.72048424,46294
061N,77.14958824,28.72292441,58093
062N,77.15796308,28.72004234,51513
063N,77.16291349,28.71282372,58922
064N,77.14493341,28.70415235,45702
065N,77.1155501,28.68896673,62450
066N,77.12395371,28.68645754,67782
067N,77.10635384,28.66470234,67423
068N,77.1377013,28.69312739,47435
069N,77.14824148,28.69115084,52676
070N,77.1476139,28.68407339,51588
071N,77.16181482,28.68115073,55399
072N,77.17191619,28.69869641,57402
073N,77.17827112,28.69477701,47131
074N,77.17585151,28.68492645,56660
075N,77.16684442,28.69039724,47410
076N,77.18331205,28.70226513,57086
077N,77.19417822,28.70422636,64845
078N,77.19811368,28.67853069,59839
079N,77.18761991,28.67726186,58477
080N,77.21070349,28.6680984,51820
081N,77.19631187,28.6704532,55799
082N,77.17643347,28.66865295,50294
